,round,year,player,firstServe,ace,double,firstPointWon,secPointWon,avgSecServe,break,return,total,error,temp_winner
186,First,2010,Bernard Tomic,0.66,5,0,0.7,0.62,131.0,0.46,0.46,94,30.0,1
187,First,2010,Igor Kunitsyn,0.83,5,2,0.68,0.48,0.0,0.55,0.44,126,4.0,1
188,First,2010,Stanislas Wawrinka,0.57,6,4,0.83,0.66,147.0,0.71,0.41,93,27.0,1
189,First,2010,Viktor Troicki,0.55,15,3,0.77,0.54,0.0,0.58,0.46,128,6.0,1
190,First,2010,Florian Mayer,0.69,4,2,0.64,0.49,0.0,0.67,0.39,123,4.0,1
191,First,2010,James Blake,0.63,9,0,0.81,0.6,146.0,0.36,0.4,111,26.0,1
192,First,2010,Juan Martin Del Potro,0.6,21,7,0.72,0.48,154.0,0.43,0.4,124,61.0,1
193,First,2010,Andy Murray,0.35,9,1,0.87,0.6,147.0,0.67,0.55,87,19.0,1
194,First,2010,Marc Gicquel,0.54,14,4,0.74,0.58,0.0,0.33,0.38,131,8.0,1
195,First,2010,Jarkko Nieminen,0.78,1,0,0.73,0.62,117.0,0.38,0.41,110,21.0,1
196,First,2010,Florent Serra,0.67,12,2,0.7,0.67,0.0,0.45,0.36,158,4.0,1
197,First,2010,John Isner,0.61,34,5,0.78,0.48,0.0,0.5,0.3,149,10.0,1
198,First,2010,Louk Sorensen,0.71,6,2,0.77,0.58,0.0,0.43,0.43,115,4.0,1
199,First,2010,Antonio Veic,0.68,7,1,0.64,0.52,0.0,0.57,0.42,153,2.0,1
200,First,2010,Gael Monfils,0.65,4,4,0.84,0.63,140.0,0.5,0.37,96,30.0,1
201,First,2010,Julien Benneteau,0.69,4,7,0.68,0.45,0.0,0.57,0.39,134,14.0,1
202,First,2010,Andrey Golubev,0.65,4,2,0.63,0.54,145.0,0.7,0.45,114,53.0,1
203,First,2010,Ivan Ljubicic,0.72,4,1,0.86,0.71,119.90135396518376,0.43,0.51,87,19.0,1
204,First,2010,Philipp Kohlschreiber,0.7,10,4,0.83,0.52,0.0,0.54,0.5,100,8.0,1
205,First,2010,Wayne Odesnik,0.64,6,3,0.72,0.51,0.0,0.44,0.48,122,6.0,1
206,First,2010,Lukas Lacko,0.61,7,2,0.89,0.52,0.0,0.63,0.41,89,4.0,1
207,First,2010,Rafael Nadal,0.69,11,1,0.76,0.56,142.0,0.44,0.41,113,16.0,1
208,Final,2011,Novak Djokovic,0.67,6,0,0.7,0.6,0.0,0.39,0.51,106,33.0,1
209,semi,2011,Andy Murray,0.6,9,3,0.75,0.37,142.0,0.55,0.44,152,63.0,1
210,semi,2011,Novak Djokovic,0.69,6,5,0.73,0.41,149.0,0.36,0.38,119,35.0,1
211,quarter,2011,David Ferrer,0.68,8,2,0.72,0.57,149.0,0.47,0.51,102,32.0,1
212,quarter,2011,Andy Murray,0.58,9,5,0.75,0.61,149.0,0.39,0.44,152,34.0,1
213,quarter,2011,Novak Djokovic,0.68,10,1,0.82,0.41,150.0,0.5,0.46,107,21.0,1
214,quarter,2011,Roger Federer,0.77,5,0,0.72,0.76,156.0,0.71,0.43,90,24.0,1
215,Fourth,2011,Rafael Nadal,0.73,3,3,0.79,0.48,140.0,0.36,0.43,103,21.0,1
216,Fourth,2011,David Ferrer,0.71,3,1,0.78,0.55,145.0,0.36,0.4,131,10.0,1
217,Fourth,2011,Alexandr Dolgopolov,0.5,11,2,0.79,0.44,144.0,0.53,0.49,132,23.0,1
218,Fourth,2011,Andy Murray,0.57,13,3,0.83,0.57,147.0,0.5,0.56,90,10.0,1
219,Fourth,2011,Tomas Berdych,0.65,11,1,0.88,0.74,147.0,0.38,0.42,88,8.0,1
220,Fourth,2011,Novak Djokovic,0.75,12,4,0.86,0.47,147.0,0.38,0.46,93,17.0,1
221,Fourth,2011,Stanislas Wawrinka,0.49,24,2,0.92,0.65,154.0,0.23,0.39,106,19.0,1
222,Fourth,2011,Roger Federer,0.69,10,1,0.79,0.61,149.0,0.4,0.37,117,40.0,1
223,Third,2011,Rafael Nadal,0.58,4,4,0.68,0.54,141.0,0.37,0.45,108,32.0,1
224,Third,2011,Marin Cilic,0.57,22,8,0.76,0.68,146.0,0.33,0.3,192,42.0,1
225,Third,2011,Milos Raonic,0.68,31,2,0.71,0.61,158.0,0.75,0.39,123,54.0,1
226,Third,2011,David Ferrer,0.58,5,1,0.88,0.58,142.0,0.42,0.54,95,15.0,1
227,Third,2011,Robin Soderling,0.6,10,3,0.84,0.53,158.0,0.5,0.49,100,32.0,1
228,Third,2011,Alexandr Dolgopolov,0.53,9,3,0.81,0.48,139.0,0.6,0.41,121,26.0,1
229,Third,2011,Jurgen Melzer,0.66,6,5,0.72,0.58,146.0,0.54,0.41,115,44.0,1
230,Third,2011,Andy Murray,0.64,10,1,0.78,0.57,150.0,0.73,0.52,79,18.0,1
231,Third,2011,Tomas Berdych,0.71,9,1,0.77,0.65,147.0,0.5,0.42,103,17.0,1
232,Third,2011,Fernando Verdasco,0.73,3,2,0.73,0.59,144.0,0.6,0.44,94,30.0,1
233,Third,2011,Nicolas Almagro,0.63,11,2,0.84,0.73,137.0,0.67,0.29,96,26.0,1
234,Third,2011,Novak Djokovic,0.77,1,0,0.59,0.8,159.0,0.5,0.54,35,8.0,1
235,Third,2011,Andy Roddick,0.68,32,3,0.78,0.56,174.0,0.56,0.39,123,22.0,1
236,Third,2011,Stanislas Wawrinka,0.63,11,2,0.75,0.54,147.0,0.29,0.44,120,35.0,1
237,Third,2011,Tommy Robredo,0.62,3,4,0.64,0.58,139.0,0.57,0.44,140,35.0,1
238,Third,2011,Roger Federer,0.64,6,1,0.66,0.57,153.0,0.41,0.53,98,36.0,1
239,Second,2011,Rafael Nadal,0.63,7,4,0.83,0.54,145.0,0.53,0.53,90,25.0,1
240,Second,2011,Bernard Tomic,0.63,10,3,0.82,0.55,143.0,0.6,0.33,104,21.0,1
241,Second,2011,John Isner,0.76,20,5,0.79,0.63,177.0,0.71,0.34,105,39.0,1
242,Second,2011,Marin Cilic,0.47,13,7,0.83,0.6,148.0,0.8,0.38,101,31.0,1
243,Second,2011,Mikhail Youzhny,0.58,14,4,0.74,0.55,147.0,0.7,0.4,156,47.0,1
244,Second,2011,Milos Raonic,0.67,21,1,0.88,0.68,167.0,0.33,0.33,113,20.0,1
245,Second,2011,Richard Berankis,0.58,8,1,0.84,0.72,149.0,0.5,0.59,63,12.0,1
246,Second,2011,David Ferrer,0.62,8,3,0.82,0.71,140.0,0.5,0.48,90,22.0,1
247,Second,2011,Robin Soderling,0.58,6,5,0.93,0.67,158.0,0.75,0.37,92,15.0,1
248,Second,2011,Jan Hernych,0.7,12,6,0.69,0.43,0.0,0.53,0.41,207,33.38345266507557,1
249,Second,2011,Alexandr Dolgopolov,0.54,18,2,0.86,0.72,0.0,0.44,0.39,120,33.38345266507557,1
250,Second,2011,Jo0Wilfried Tsonga,0.64,20,4,0.79,0.44,146.0,0.5,0.34,115,47.0,1
251,Second,2011,Jurgen Melzer,0.67,9,2,0.78,0.5,142.0,0.6,0.45,90,25.0,1
252,Second,2011,Marcos Baghdatis,0.47,15,5,0.88,0.51,151.0,0.5,0.41,116,29.0,1
253,Second,2011,Guillermo Garcia0Lopez,0.54,4,4,0.87,0.62,145.0,0.44,0.39,111,28.0,1
254,Second,2011,Andy Murray,0.63,16,0,0.79,0.43,145.0,0.75,0.49,91,15.0,1
255,Second,2011,Tomas Berdych,0.58,11,6,0.84,0.49,151.0,0.44,0.39,133,25.0,1
256,Second,2011,Richard Gasquet,0.69,11,3,0.77,0.57,147.0,0.36,0.43,115,33.0,1
257,Second,2011,Kei Nishikori,0.57,2,5,0.65,0.56,143.0,0.42,0.41,121,34.0,1
